form	token_urn	expanded_form	presentation_form
Δήμητρ’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:662.1.text.token3		Δήμητρ’
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:86.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:88.1.text.token6	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:145.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:158.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:213.1.text.token6	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:328.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:336.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:373.1.text.token7	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:377.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:382.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:463.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:550.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:551.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:556.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:596.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:686.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:758.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:935.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:1035.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:1088.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg010.fu.sp:1130.2.text.token4	Δία	Δία
