form	token_urn	expanded_form	presentation_form
Ζῆν’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:140.1.text.token2		Ζῆν’
Ζῆν’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:1188.1.text.token4		Ζῆν’
αἰῶν’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:2.1.text.token4		αἰῶν’
αἴρετ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:1264.1.text.token1		αἴρετ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:154.1.text.token8		αὐτίκ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:199.1.text.token6		αὐτίκ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:594.1.text.token2		αὐτίκ’
αὔτ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:408.1.text.token2	αὔτε	αὔτε
αὖθ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token7		αὖθ’
βαλόντ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:709.1.text.token6		βαλόντ’
βαλόντ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:714.1.text.token3		βαλόντ’
βλέπουσ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:313.1.text.token1		βλέπουσ’
βλέφ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:402.1.text.token3		βλέφ’
βουλεύσασ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:807.1.text.token6		βουλεύσασ’
βάντ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:113.1.text.token5		βάντ’
βᾶσ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:927.1.text.token3		βᾶσ’
γένοιντ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:905.1.text.token1		γένοιντ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:816.1.text.token2		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:955.1.text.token1		γένοιτ’
γ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:72.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg001.fu.sp:80.1.text.token7	γε	γε
