form	token_urn	expanded_form	presentation_form
Τρῳάδ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:582.1.text.token.5		Τρῳάδ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1016.1.text.token.4		αἰθέρ’
αἰθέρ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1219.1.text.token.6		αἰθέρ’
αἰτούμεθ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1095.1.text.token.1		αἰτούμεθ’
αἴνιγμ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:788.1.text.token.4		αἴνιγμ’
βουλεύματ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:37.1.text.token.1		βουλεύματ’
βούλοιντ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:916.1.text.token.1		βούλοιντ’
βούλοιντ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:916.1.text.token.5		βούλοιντ’
βούσταθμ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:29.1.text.token.5		βούσταθμ’
βάρβαρ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:274.1.text.token.2		βάρβαρ’
βάρβαρ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:864.1.text.token.2		βάρβαρ’
βέβηκ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1515.1.text.token.5		βέβηκ’
γαῖ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:907.1.text.token.2		γαῖ’
γεγῶτ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1685.1.text.token.1		γεγῶτ’
γενοίμεσθ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1479.1.text.token.1		γενοίμεσθ’
γυναῖκ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1408.1.text.token.1		γυναῖκ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:323.1.text.token.2		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:588.1.text.token.2		γένοιτ’
γίγνωσκ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1257.1.text.token.3		γίγνωσκ’
γόνατ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:831.1.text.token.4		γόνατ’
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:67.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:104.1.text.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:110.1.text.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:124.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:136.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:308.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:448.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:554.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:571.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:579.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:591.1.text.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:777.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:808.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:818.1.text.token.8	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:829.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:955.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:974.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1028.1.text.token.10	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1056.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1105.1.text.token.7	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg014.fu.sp:1182.1.text.token.4	γε	γε
