token_urn	surface_form	normalized_form	reason
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Epictetus Discourses	Epictetus Discourses	no_match_in_morph_dict
urn	urn:cite2:cex:fufolio.2020:epictetus_discourses	urn:cite2:cex:fufolio.2020:epictetus_discourses	no_match_in_morph_dict
license	CC Share Alike. For details, see more info.	CC Share Alike. For details, see more info.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:	section/paragraph	section/paragraph	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.0.token.1	Ἀρριανὸς	Ἀρριανός	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.0.token.2	Λουκίῳ	Λουκίῳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.0.token.3	Γελλίῳ	Γελλίῳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.4.token.2	δʹ	δʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.5.token.1	ἀλλʹ	ἀλλʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.5.token.16	οὐδʹ	οὐδʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.7.token.5	ἀλλʹ	ἀλλʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.8.token.2	δʹ	δʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:Prologue.0.8.token.6	ἐφʹ	ἐφʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.head.token.3	ἐφʹ	ἐφʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.head.token.7	ἐφʹ	ἐφʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.3.token.10	ἀλλʹ	ἀλλʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.3.token.31	γραπτέον	γραπτέον	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.3.token.36	γραπτέον	γραπτέον	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.3.token.52	δʹ	δʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.4.token.14	δʹ	δʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.7.token.14	ἐφʹ	ἐφʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.7.token.26	δʹ	δʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0557.tlg001.fucex:1.1.7.token.29	ἐφʹ	ἐφʹ	no_match_in_morph_dict
