form	token_urn	expanded_form	presentation_form
Σιγᾶτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:532.1.text.token1		Σιγᾶτ’
αἵδ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1015.1.text.token4		αἵδ’
αἷμ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:537.1.text.token3		αἷμ’
αὐτίκ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1049.1.text.token3		αὐτίκ’
αὐχέν’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:376.1.text.token6		αὐχέν’
αὔθ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1227.1.text.token6	αὔτε	αὔτε
βούλεσθ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1042.1.text.token2		βούλεσθ’
βάψασ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:610.1.text.token1		βάψασ’
γένοιτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1200.1.text.token3		γένοιτ’
γέροντ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:422.1.text.token6		γέροντ’
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:264.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:396.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:408.1.text.token8	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:421.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:429.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:433.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:602.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:766.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:774.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:782.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:854.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:976.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:993.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1004.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1248.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1275.1.text.token3	γε	γε
δαῖτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1078.1.text.token6		δαῖτ’
δειμαίνουσ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:54.1.text.token4		δειμαίνουσ’
δείν’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:693.1.text.token1		δείν’
δείν’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1169.1.text.token2		δείν’
δεῦρ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:964.1.text.token5	δεῦρο	δεῦρο
διακωλύσουσ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:148.1.text.token5		διακωλύσουσ’
διδοῦσ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:946.1.text.token1		διδοῦσ’
διέφθειρ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:598.1.text.token2		διέφθειρ’
δι’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:75.1.text.token6	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:851.1.text.token3	διά	διά
δέσποιν’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:668.1.text.token1		δέσποιν’
δέσποτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:841.1.text.token2		δέσποτ’
δίδωμ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1276.1.text.token6		δίδωμ’
δίκαι’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:801.1.text.token5		δίκαι’
δίχ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:117.1.text.token4		δίχ’
δύστην’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:736.1.text.token1		δύστην’
δύσφορ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:1085.1.text.token6		δύσφορ’
δῆτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:249.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:313.1.text.token4	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:367.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:623.1.text.token6	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:828.1.text.token4	δῆτα	δῆτα
δῶμ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:353.1.text.token4		δῶμ’
δ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:8.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:13.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:28.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:30.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:35.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg007.fu.sp:40.1.text.token2	δέ	δέ
