token_urn	surface_form	normalized_form	reason
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	CEX Library created by CEXWriter	CEX Library created by CEXWriter	no_match_in_morph_dict
urn	urn:cite2:cex:TEMPCOLL.TEMPVERSION:TEMP_ID	urn:cite2:cex:TEMPCOLL.TEMPVERSION:TEMP_ID	no_match_in_morph_dict
license	Public Domain.	Public Domain.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:	line	line	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:24.token3	Περσαίου	Περσαίου	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:79.token7	ἄκοιτιν	ἄκοιτιν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:105.token5	Ἐλευσινίδαο	Ἐλευσινίδαο	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:109.token1	Καλλιδίκη	Καλλιδίκη	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:109.token3	Κλεισιδίκη	Κλεισιδίκη	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:110.token1	Καλλιθόη	Καλλιθόη	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:122.token1	Δωσὼ	Δωσώ	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:123.token3	Κρήτηθεν	Κρήτηθεν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:128.token3	ἐπηρτύνοντο	ἐπηρτύνοντο	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg002.fucex:137.token8	οἰκτείρατε	οἰκτείρατε	no_match_in_morph_dict
