form	token_urn	expanded_form
ʼβουλόμην	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1147.1.text.token.6	
ʼγʼὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1480.1.text.token.3	
ʼγωγε	urn:cts:greekLit:tlg0019.tlg009.fu.sp:276.1.text.token.4	
ʼγώ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:25.1.text.token.4	
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.6	
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:495.1.text.token.4	
ʼγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1147.1.text.token.5	
ʼδραττόμην	urn:cts:greekLit:tlg0019.tlg009.fu.sp:545.1.text.token.2	
ʼζων	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1072.1.text.token.10	
ʼκλεψα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:614.1.text.token.2	
ʼκτραφεὶς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1191.1.text.token.3	
ʼμʼαυτὸν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:601b.1.text.token.1	
ʼνεσκεύασα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:523.1.text.token.5	
ʼνθάδʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:436.1.text.token.3	
ʼνιαυτῷ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:18.1.text.token.3	
ʼξεκένωσεν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1070.1.text.token.2	
ʼξεμεῖν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:11.1.text.token.10	
ʼπʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:928.1.text.token.7	
ʼπάταξά	urn:cts:greekLit:tlg0019.tlg009.fu.sp:645.1.text.token.2	
ʼπάταξα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:647.1.text.token.3	
ʼπίορκον	urn:cts:greekLit:tlg0019.tlg009.fu.sp:150.1.text.token.4	
ʼπικαθῆτο	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1046.1.text.token.10	
ʼπὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:187.1.text.token.10	
ʼπὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:199.1.text.token.2	
ʼρεῖς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token.8	
ʼσται	urn:cts:greekLit:tlg0019.tlg009.fu.sp:596.1.text.token.1	
ʼστι	urn:cts:greekLit:tlg0019.tlg009.fu.sp:291.2.text.token.2	
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:83.1.text.token.4	
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:286.1.text.token.3	
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:292.1.text.token.5	
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:483.2.text.token.2	
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:983.1.text.token.5	
ʼστιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1305.1.text.token.6	
ʼστὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1401.1.text.token.6	
ʼστὶν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:182.1.text.token.2	
ʼτέρᾳ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:64.1.text.token.6	
ʼφύλαττον	urn:cts:greekLit:tlg0019.tlg009.fu.sp:469.1.text.token.3	
Αἰσχύλʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:856.1.text.token.6	
