ἠύκομον	h)u/komon	εὔκομος	eu)/komos	a-s---fa-
,	,	,	,	u--------
σεμνὴν	semnh\n	σεμνός	semno/s	a-s---fa-
θεόν	qeo/n	θεός	qeo/s	n-s---fa-
,	,	,	,	u--------
ἀείδειν	a)ei/dein	ἀείδω	a)ei/dw	v--pna---
,	,	,	,	u--------
αὐτὴν	au)th\n	αὐτός	au)to/s	p-s---fa-
ἠδὲ	h)de\	ἠδέ	h)de/	c--------
θύγατρα	qu/gatra	θυγάτηρ	quga/thr	n-s---fa-
τανύσφυρον	tanu/sfuron	τανύσφυρος	tanu/sfuros	a-s---fa-
,	,	,	,	u--------
ἣν	h(\n	ὅς	o(/s	p-s---fa-
Ἀιδωνεὺς	A)idwneu\s	Ἅιδης	A(/idhs	n-s---mn-
ἥρπαξεν	h(/rpacen	ἁρπάζω	a(rpa/zw	v3saia---
,	,	,	,	u--------
δῶκεν	dw=ken	δίδωμι	di/dwmi	v3saia---
δὲ	de\	δὲ	de\	c--------
βαρύκτυπος	baru/ktupos	βαρύκτυπος	baru/ktupos	a-s---mn-
εὐρύοπα	eu)ru/opa	εὐρύοπα	eu)ru/opa	a-s---mn-
Ζεύς	Zeu/s	Ζεύς	Zeu/s	n-s---mn-
,	,	,	,	u--------
νόσφιν	no/sfin	νόσφι	no/sfi	r--------
Δήμητρος	Dh/mhtros	Δημήτηρ	Dhmh/thr	n-s---fg-
χρυσαόρου	xrusao/rou	χρυσάορος	xrusa/oros	a-s---fg-
,	,	,	,	u--------
ἀγλαοκάρπου	a)glaoka/rpou	ἀγλαόκαρπος	a)glao/karpos	a-s---fg-
,	,	,	,	u--------
παίζουσαν	pai/zousan	παίζω	pai/zw	v-sppafa-
κούρῃσι	kou/rh|si	κόρη	ko/rh	n-p---fd-
σὺν	su\n	σύν	su/n	r--------
Ὠκεανοῦ	W)keanou=	Ὠκεανός	W)keano/s	n-s---mg-
βαθυκόλποις	baquko/lpois	βαθύκολπος	baqu/kolpos	a-p---fd-
ἄνθεά	a)/nqea/	ἄνθος	a)/nqos	n-p---na-
αἰνυμένην	ai)nume/nhn	αἴνυμαι	ai)/numai	v-sppefa-
,	,	,	,	u--------
ῥόδα	r(o/da	ῥόδον	r(o/don	n-p---na-
καὶ	kai\	καί	kai/	c--------
κρόκον	kro/kon	κρόκος	kro/kos	n-s---ma-
ἠδ’	h)d'	ἠδη	h)dh	c--------
ἴα	i)/a	ἴα	i)/a	n-p---na-
καλὰ	kala\	καλός	kalo/s	a-p---na-
ἂμ	a)\m	ἀνά	a)na/	r--------
μαλακὸν	malako\n	μαλακός	malako/s	a-s---ma-
καὶ	kai\	καί	kai/	c--------
ἀγαλλίδας	a)galli/das	ἀγαλλίς	a)galli/s	n-p---fa-
ἠδ’	h)d'	ἠδη	h)dh	c--------
ὑάκινθον	u(a/kinqon	ὑάκινθος	u(a/kinqos	n-s---ma-
νάρκισσόν	na/rkisso/n	νάρκισσος	na/rkissos	n-s---fa-
,	,	,	,	u--------
ὃν	o(\n	ὅς	o(/s	p-s---ma-
φῦσε	fu=se	φύω	fu/w	v3saia---
δόλον	do/lon	δόλος	do/los	n-s---ma-
καλυκώπιδι	kalukw/pidi	καλυκώπις	kalukw/pis	a-s---fd-
κούρῃ	kou/rh|	κόρη	ko/rh	n-s---fd-
Γαῖα	Gai=a	Γαῖα	Gai=a	n-s---fn-
Διὸς	Dio\s	Ζεύς	Zeu/s	n-s---mg-
βουλῇσι	boulh=|si	βουλή	boulh/	n-p---fd-
χαριζομένη	xarizome/nh	χαρίζω	xari/zw	v-sppefn-
Πολυδέκτῃ	Polude/kth|	Πολυδέκτης	Polude/kths	n-s---md-
,	,	,	,	u--------
θαυμαστὸν	qaumasto\n	θαυμαστός	qaumasto/s	a-s---na-
γανόωντα	gano/wnta	γανόω	gano/w	v-sppama-
·	:	·	:	u--------
σέβας	se/bas	σέβας	se/bas	n-s---nn-
τό	to/	ὁ	o(	p-s---nn-
γε	ge	γε	ge	d--------
πᾶσιν	pa=sin	πᾶς	pa=s	a-p---md-
ἰδέσθαι	i)de/sqai	εἶδον	ei)=don	v--anm---
ἀθανάτοις	a)qana/tois	ἀθάνατος	a)qa/natos	a-p---md-
τε	te	τε	te	c--------
θεοῖς	qeoi=s	θεός	qeo/s	n-p---md-
ἠδὲ	h)de\	ἠδέ	h)de/	c--------
θνητοῖς	qnhtoi=s	θνητός	qnhto/s	a-p---md-
ἀνθρώποις	a)nqrw/pois	ἄνθρωπος	a)/nqrwpos	n-p---md-
·	:	·	:	u--------
τοῦ	tou=	ὁ	o(	p-s---ng-
καὶ	kai\	καί	kai/	c--------
ἀπὸ	a)po\	ἀπό	a)po/	r--------
ῥίζης	r(i/zhs	ῥίζα	r(i/za	n-s---fg-
ἑκατὸν	e(kato\n	ἑκατὸς	e(kato\s	p-s---na-
κάρα	ka/ra	κάρα	ka/ra	n-s---na-
ἐξεπεφύκει	e)cepefu/kei	ἐκφύω	e)kfu/w	v3slia---
·	:	·	:	u--------
κὦζ’	kw)=z'	ὄζω	o)/zw	v3siia---
ὀδμή	o)dmh/	ὀσμή	o)smh/	n-s---fn-
,	,	,	,	u--------
πᾶς	pa=s	πᾶς	pa=s	a-s---mn-
