urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.1	Εἴπω	*ei)/pw	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v1sasa---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.2	τι	ti	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.3	τῶν	tw=n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---ng-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.4	εἰωθότων	ei)wqo/twn	ἔθω	e)/qw	urn:cite2:hmt:lsj.chicago_md:n30814	v-prpang-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.5	ὦ	w)=	ὦ	w)=	urn:cite2:hmt:lsj.chicago_md:n116027	x--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.6	δέσποτα	de/spota	δεσπότης	despo/ths	urn:cite2:hmt:lsj.chicago_md:n24206	n-s---mv-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:2.1.text.token.1	ἐφ’	e)f'	ἐπί	e)pi/	urn:cite2:hmt:lsj.chicago_md:n38862	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:2.1.text.token.2	οἷς	oi(=s	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-p---nd-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:2.1.text.token.3	ἀεί	a)ei/	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:2.1.text.token.4	γελῶσιν	gelw=sin	γελάω	gela/w	urn:cite2:hmt:lsj.chicago_md:n21783	v3ppia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:2.1.text.token.5	οἱ	oi(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:2.1.text.token.6	θεώμενοι	qew/menoi	θεάω	qea/w	urn:cite2:hmt:lsj.chicago_md:n47998	v-pppemn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.1	νή	nh/	νή	nh/	urn:cite2:hmt:lsj.chicago_md:n70618	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.11	πιέζομαι	pie/zomai	πιέζω	pie/zw	urn:cite2:hmt:lsj.chicago_md:n83057	v1spie---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.2	τόν	to/n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.3	Δία	*di/a	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.4	ὅ	o(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-s---nn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.5	τι	ti	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.6	βούλει	bou/lei	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v2spie---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.7	γε	ge	γε	ge	urn:cite2:hmt:lsj.chicago_md:n21705	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.9	πλήν	plh/n	πλήν	plh/n	urn:cite2:hmt:lsj.chicago_md:n83818	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:4.1.text.token.1	τοῦτο	tou=to	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---nv-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:4.1.text.token.2	δέ	de/	δέ	de/	urn:cite2:hmt:lsj.chicago_md:n23596	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:4.1.text.token.3	φύλαξαι	fu/lacai	φυλάσσω	fula/ssw	urn:cite2:hmt:lsj.chicago_md:n112559	v2samm---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:4.1.text.token.5	πάνυ	pa/nu	πάνυ	pa/nu	urn:cite2:hmt:lsj.chicago_md:n77699	d--------
